module	version	source	score
github.com/restic/restic	e60c5b2d7f87004b69be546ea29cd3286a57b400	https://github.com/restic/restic	22241
github.com/urfave/cli/v3	7b25ef5588871373af470ca0ef9d123691ecfeea	https://github.com/urfave/cli	22237
fyne.io/fyne/v2	1834d704a305f4729cce65213f5b5c3098e1d993	https://github.com/fyne-io/fyne	22222
github.com/stretchr/testify	882382d845cd9780bd93c1acc8e1fa2ffe266ca1	https://github.com/stretchr/testify	21833
github.com/valyala/fasthttp	54fdc7a73c6e8adb2b7913dea57811329958eb62	https://github.com/valyala/fasthttp	21627
github.com/dgraph-io/dgraph	0474a00ef4f5ea20f695a676f015e40965f0a976	https://github.com/dgraph-io/dgraph	20988
github.com/containers/podman/v4	6ab38e55e733e70c9592ce41132a0f390b236560	https://github.com/containers/podman	20771
github.com/gorilla/mux	546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4	https://github.com/gorilla/mux	20757
github.com/jaegertracing/jaeger	bb245f73f5e7d55604c6aa27a49a8ac371daa54f	https://github.com/jaegertracing/jaeger	20275
github.com/aquasecurity/trivy	c74870500ad9ec9b380f0f3548fe9c5a48649201	https://github.com/aquasecurity/trivy	20130
github.com/inancgumus/learngo	e366d1a364eba61a08f84a17ef6dbf60818aa144	https://github.com/inancgumus/learngo	19943
github.com/charmbracelet/bubbletea	91dd1200733714c4fb7bc7ffb24af2c35cc2f111	https://github.com/charmbracelet/bubbletea	19899
github.com/redis/go-redis/v9	c7399b6a17d7d3e2a57654528af91349f2468529	https://github.com/redis/go-redis	19864
k8s.io/kops	21c0a896761261ca51aa07b10957b7de68743331	https://github.com/kubernetes/kops	19745
github.com/AdguardTeam/AdGuardHome	c54635e8a166f0c7f9d50d12f96f981c2a2a15f6	https://github.com/AdguardTeam/AdGuardHome	19648
github.com/buger/goreplay	fd62d693eea7cc201f420f52c38501fd67982ad8	https://github.com/buger/goreplay	19504
vitess.io/vitess	1659386f4368ca42f1ce9841d02720ca0f545a54	https://github.com/vitessio/vitess	18594
github.com/influxdata/telegraf	2f1edfbbfcd728d64596eb1a5ef61ceda5356b67	https://github.com/influxdata/telegraf	18565
github.com/cilium/cilium	1410a661c1bfbf91d74e630f84cad1db3f9a3966	https://github.com/cilium/cilium	18516
github.com/ipfs/kubo	54ac8124c3bf2a19ebfd60f9a5edcea943c7b392	https://github.com/ipfs/kubo	18323
github.com/authelia/authelia/v4	cbe5578c4143533eb4521928c4ef9e72330cc24b	https://github.com/authelia/authelia	18060
github.com/xtls/xray-core	f67167bb3bbfcb0f45393f37005a51024e58864b	https://github.com/XTLS/Xray-core	17945
github.com/argoproj/argo-cd/v2	f7bfb3f15b7d3e7524c705e6cf3d18659d14186e	https://github.com/argoproj/argo-cd	17924
github.com/joewalnes/websocketd	8d6da30045855d1d9d81fd8a0936ef84981764f0	https://github.com/joewalnes/websocketd	17920
github.com/grpc-ecosystem/grpc-gateway/v2	cdcf0ba0a919cee0866824e90640acc969630d12	https://github.com/grpc-ecosystem/grpc-gateway	17912
github.com/hashicorp/packer	c575946e4db49729913a78b7cc7db6091b142331	https://github.com/hashicorp/packer	17903
github.com/google/cadvisor	f95f1339c1734611331ae2051650db62e0cadc33	https://github.com/google/cadvisor	17620
github.com/antonmedv/fx	4fec4e492a52f52e7bbc9af1d0622ae83f951290	https://github.com/antonmedv/fx	17289
github.com/xuri/excelize/v2	ae17fa87d506cc5c2ccda7ff280567c491de3ea9	https://github.com/qax-os/excelize	17204
github.com/casbin/casbin/v2	9ffd73bebfb5202679dc39cf0eff568509f5902f	https://github.com/casbin/casbin	17131
github.com/hashicorp/terraform-provider-aws	96ac19e4c1feb5edee5f30aba29be233109e8717	https://github.com/hashicorp/terraform-provider-aws	17047
github.com/ahmetb/kubectx	11c19c0fb799229fdb94cf58a9f69a19744d9dca	https://github.com/ahmetb/kubectx	16838
github.com/elastic/beats/v7	360b00931afcf598ab2528703f7f274c2627a752	https://github.com/elastic/beats	16568
github.com/gravitational/teleport	5fcc1ee2b48b4002b207eb5398e64de81e0869d3	https://github.com/gravitational/teleport	16432
github.com/txthinking/brook	dbc4261ec16d2c5b04248c987fd008688688ad95	https://github.com/txthinking/brook	16242
